50,Thomas Parkhurst
51,"Nieto, David"
52,Jane Doe
53,John Smith
54,William Jones
56,Tsevi Hirsch ben Jacob Ashkenazi
57,Jacob of Vilna
59,Sa'adia ben Joseph
5720,M. Rabinowicy
61,Ze'ev Wolf ben Zalman Merlis
62,Ya'akov ben Yitshak Shapira
4689,"St. Petersburg Branch of the Institute of Oriental Studies, Russian Academy of Sciences"
64,sons of Yitshak ben Aharon mi-Prostits
65,sons of Yitshak ben Aharon mi-Prostits
66,Eliezer Lazi
2963,D. Levy
68,Emanuel ben Yosef Atias
69,Yosef Lazi
70,Yosef Heilbut 
85,"Abudraham, David ben Joseph, active 14th. century"
72,"Nieto, David"
73,"Judah, ha-Levi"
95,Alvise Bragadin
75,Henry Bookbinding Company
4690,Ægidius Gutbier
647,Juda ben Suson
1,Jacob ben Solomon Ibn Habib
2964,Lyons Children
82,Druck des S. Back and A.J. Menkes
1028,Haim I. Coppenhagen
84,Beit Daniel Ginatty
46,Georgius Decker
1639,Moses ben Eliezer Katz
87,Rachel
1514, אליהו בן אברהם שלמה הכהן
47,"Hind, daughter of Barukh of Coblenz, wife of Zanwill Oppenheim"
5,Menasseh Ben-Israel
3,Yisrael Moshe Chazan
6,David ben Joseph Abudraham
49,Vendramina
8,Rubenstein
7,Samuel Abarbanel Soeiro
2,Jacob ben Judah Weil
4,Yitshak ben Aharon mi-Prosṭits
2965,Rafael Cohen Foa
11,Jacob Marcaria
12,Judah Mehler
13,Joseph b. Judah Mehler
14,Koppel Levi
15,דפוס בני יצחק דרוקר
16,Parenzo
9,"Oppenheim, David b. Abraham"
90,Rachel
91,"Nathan ben Jehiel, of Rome"
92,Joseph b. Joshua of פינטשוב
48,Natan Neta Hanover
94,"Alfasi, Isaac b. Jacob "
96," פארינצו, מאיר בן יעקב"
97,"Oppenheim, Joseph b. Simeon Wolf"
98,"Oppenheim, (undecipherable) son of Joseph (son of Simeon Wolf)"
99,"Oppenheimer, Samuel"
2208,"Hebrew Union College Jewish Institute of Religion, Klau Library Cincinnati"
2322,Ha-hakham Wolf
102,New York Public Library
103,New York Public Library
104,"Independent Congregationalist Society, Barton Square (Salem, Mass.)"
105,Essex Institute
107,Boston College Library
651,Benveniste
17,Abraham ben Meir de Balmes
773,Bernhard Christoph Breitkopf
19,Jean Bourdelot
20,Isaac b. Aaron of Prosstitz
21,Joshua (Raphael) Benveniste b. Israel
22,Avraham ben Yedidya Gaba'i
2323,משה עשיר בן יעקב
88,Isaac Arama
2325,Shmuel son on Hirsch Mahler
2326,Shmuel ben Hirsch Mahler
1518,אליהו בן שלמה זלמן
2327,"Mĕnaḥem ben Saruq, approximately 910-approximately 970"
24,"Ibn Verga, Solomon"
25,Emmanuel Benveniste
26,Samuel Gif
27,"Katz, Mordecai b. Gershom"
28,"Katz, Solomon b. Gershom"
1820,Israel Mizrahi
2634,Manasseh and Benjamin of Rome
32,"Levita, Elijah"
33,"Saruco, Salomon"
34,"Proops, Solomon b. Joseph"
35,M. Del
2966,בן ציון בלאא
37,"Nieto, David"
4986,Karolina (Ina) Plank Sussheim O'Brian
39,Isaac Aboab
31,Giorgio di Cavalli
1520,"יעב״ץ, יוסף בן חיים"
42,Casper Steen
43,Herts Levi Rofe
648,Abraham Benveniste
3186,Yitshak Herz Issersohn
1641,"Levi ben Gershom, 1288-1344"
2209,Adolph S. Oko
1819,"Midrash Abarbanel - Bnai Brith Library, Jerusalem"
111,Moshe Mayzlish (משה מייזלש)
122,Mordekhai Tirkalin (מרדכי טירקלין)
112,"Shapira, Berekhy. (Berekhyah), d. 1664"
113,Avraham Shne'or
123,Yitshak ben Aharon mi-Prosṭits
1522,"כ''ץ, יוסף בן מרדכי גרשון"
115,Solomon ben Isaac
124,Todros (surname) 
116,"Pardo, David Samuel ben Jacob"
1745,King James I of England
125,____ Todros (טודרוס)
118,Zachariah b. Judah Leib
119,"Benveniste, Meir b. Samuel"
4316,Aryeh Loeb ben Meir Horowitz
120,"Yaabetz, Joseph b. Isaac"
127,grandsons of Yitshak ben Aharon mi-Prostits
2198," אבילה, אליעזר בן שמואל די"
2328,Simon Deutsch
131,Hayyim b. Mordekhai Tirkalin [(?) חיים בן מרדכי שליט טירקלין]
2324,Perez Trabot
133,Solomon Schechter
2329,"Slonimski, Mordekhay"
135,Louis Lamm
136,Meyer Kayserling
4457,Yeshiva University Library
4691,Jakob Martini
140," Raphael Nathan Nata Rabbinovicz, of Munich"
38,Joseph Athias
142,Samuel Wiener
144,Rachel
145,Siegfried Cronbach
146,Johannes Frobenius
147,Sebastian Münster
148,"Otero Sánchez, Prudencio‏"
149,Oscar S. Straus
151,Solomon Goldman
152,Abram Leon Sachar
153,Milton Steinberg
154,Behrmann House
155,Rabbi Osias Babad
312,חיים בן צבי הירש
156,"Trunk, Israel Joshua"
206,נפטלי בן משה אברהם יחיאל
157,Saphrograph Co.
158, Biblioteca Nueva
1812,J. Corton
159,Prudencio Otero Sánchez
649,Jacob Benveniste
160,Gerson D. Cohen
209,"Alvarez Sotto, Jacob"
161,Ahad Ha'am
2330,"Bamberger, Benjamin Isaac"
2462,Obadiah Yare ben Abraham
2463,Jacob ben Neftali ha-Cohen
2464,"Biblioteca Palatina, Parma"
